episode,total_reward,epsilon,total_steps
0,-2000.0,0.99,1999
1,-2000.0,0.9801,1999
2,-1972.0,0.9702989999999999,1971
3,-2000.0,0.96059601,1999
4,-2000.0,0.9509900498999999,1999
5,-2000.0,0.9414801494009999,1999
6,-2000.0,0.9320653479069899,1999
7,-1787.0,0.92274469442792,1786
8,-2000.0,0.9135172474836407,1999
9,-1237.0,0.9043820750088043,1236
10,-1522.0,0.8953382542587163,1521
11,-2000.0,0.8863848717161291,1999
12,-2000.0,0.8775210229989678,1999
13,-1355.0,0.8687458127689781,1354
14,-1562.0,0.8600583546412883,1561
15,-2000.0,0.8514577710948754,1999
16,-2000.0,0.8429431933839266,1999
17,-2000.0,0.8345137614500874,1999
18,-989.0,0.8261686238355865,988
19,-2000.0,0.8179069375972307,1999
20,-1235.0,0.8097278682212583,1234
21,-523.0,0.8016305895390458,522
22,-1534.0,0.7936142836436553,1533
23,-615.0,0.7856781408072188,614
24,-505.0,0.7778213593991465,504
25,-443.0,0.7700431458051551,442
26,-685.0,0.7623427143471035,684
27,-1130.0,0.7547192872036325,1129
28,-819.0,0.7471720943315961,818
29,-870.0,0.7397003733882802,869
30,-560.0,0.7323033696543974,559
31,-821.0,0.7249803359578534,820
32,-901.0,0.7177305325982748,900
33,-622.0,0.7105532272722921,621
34,-414.0,0.7034476949995692,413
35,-817.0,0.6964132180495735,816
36,-525.0,0.6894490858690777,524
37,-397.0,0.682554595010387,396
38,-749.0,0.6757290490602831,748
39,-669.0,0.6689717585696803,668
40,-1151.0,0.6622820409839835,1150
41,-449.0,0.6556592205741436,448
42,-914.0,0.6491026283684022,913
43,-455.0,0.6426116020847181,454
44,-667.0,0.6361854860638709,666
45,-935.0,0.6298236312032323,934
46,-489.0,0.6235253948912,488
47,-382.0,0.617290140942288,381
48,-433.0,0.6111172395328651,432
49,-345.0,0.6050060671375365,344
50,-785.0,0.5989560064661611,784
51,-765.0,0.5929664464014994,764
52,-402.0,0.5870367819374844,401
53,-448.0,0.5811664141181095,447
54,-529.0,0.5753547499769285,528
55,-443.0,0.5696012024771592,442
56,-762.0,0.5639051904523876,761
57,-624.0,0.5582661385478638,623
58,-648.0,0.5526834771623851,647
59,-415.0,0.5471566423907612,414
60,-584.0,0.5416850759668536,583
61,-315.0,0.536268225207185,314
62,-543.0,0.5309055429551132,542
63,-588.0,0.525596487525562,587
64,-811.0,0.5203405226503064,810
65,-636.0,0.5151371174238033,635
66,-352.0,0.5099857462495653,351
67,-886.0,0.5048858887870696,885
68,-330.0,0.4998370298991989,329
69,-502.0,0.49483865960020695,501
70,-550.0,0.4898902730042049,549
71,-318.0,0.48499137027416284,317
72,-335.0,0.4801414565714212,334
73,-388.0,0.475340042005707,387
74,-244.0,0.47058664158564995,243
75,-368.0,0.4658807751697934,367
76,-336.0,0.4612219674180955,335
77,-413.0,0.45660974774391455,412
78,-343.0,0.4520436502664754,342
79,-573.0,0.44752321376381066,572
80,-323.0,0.44304798162617254,322
81,-282.0,0.4386175018099108,281
82,-307.0,0.4342313267918117,306
83,-447.0,0.4298890135238936,446
84,-234.0,0.42559012338865465,233
85,-259.0,0.4213342221547681,258
86,-310.0,0.41712087993322045,309
87,-248.0,0.41294967113388825,247
88,-447.0,0.40882017442254937,446
89,-342.0,0.4047319726783239,341
90,-226.0,0.40068465295154065,225
91,-323.0,0.39667780642202527,322
92,-161.0,0.392711028357805,160
93,-227.0,0.38878391807422696,226
94,-407.0,0.3848960788934847,406
95,-289.0,0.38104711810454983,288
96,-386.0,0.37723664692350434,385
97,-302.0,0.37346428045426927,301
98,-207.0,0.36972963764972655,206
99,-294.0,0.36603234127322926,293
100,-272.0,0.36237201786049694,271
101,-338.0,0.358748297681892,337
102,-421.0,0.35516081470507305,420
103,-357.0,0.3516092065580223,356
104,-270.0,0.34809311449244207,269
105,-381.0,0.34461218334751764,380
106,-254.0,0.34116606151404244,253
107,-206.0,0.337754400898902,205
108,-253.0,0.334376856889913,252
109,-193.0,0.33103308832101386,192
110,-243.0,0.3277227574378037,242
111,-239.0,0.3244455298634257,238
112,-325.0,0.3212010745647914,324
113,-318.0,0.3179890638191435,317
114,-179.0,0.31480917318095203,178
115,-166.0,0.3116610814491425,165
116,-243.0,0.30854447063465107,242
117,-155.0,0.30545902592830454,154
118,-259.0,0.3024044356690215,258
119,-314.0,0.29938039131233124,313
120,-181.0,0.2963865873992079,180
121,-328.0,0.29342272152521587,327
122,-326.0,0.2904884943099637,325
123,-307.0,0.28758360936686406,306
124,-246.0,0.2847077732731954,245
125,-245.0,0.28186069554046345,244
126,-216.0,0.2790420885850588,215
127,-209.0,0.2762516676992082,208
128,-452.0,0.27348915102221616,451
129,-221.0,0.270754259511994,220
130,-372.0,0.26804671691687404,371
131,-613.0,0.2653662497477053,612
132,-266.0,0.2627125872502282,265
133,-168.0,0.2600854613777259,167
134,-398.0,0.2574846067639487,397
135,-207.0,0.2549097606963092,206
136,-212.0,0.2523606630893461,211
137,-153.0,0.24983705645845267,152
138,-175.0,0.24733868589386815,174
139,-214.0,0.24486529903492946,213
140,-260.0,0.24241664604458016,259
141,-198.0,0.23999247958413436,197
142,-254.0,0.23759255478829303,253
143,-181.0,0.2352166292404101,180
144,-260.0,0.232864462948006,259
145,-276.0,0.23053581831852593,275
146,-309.0,0.22823046013534068,308
147,-181.0,0.22594815553398728,180
148,-201.0,0.22368867397864742,200
149,-383.0,0.22145178723886094,382
150,-281.0,0.21923726936647234,280
151,-375.0,0.2170448966728076,374
152,-274.0,0.21487444770607952,273
153,-227.0,0.21272570322901874,226
154,-358.0,0.21059844619672854,357
155,-301.0,0.20849246173476127,300
156,-218.0,0.20640753711741366,217
157,-305.0,0.20434346174623952,304
158,-180.0,0.20230002712877712,179
159,-327.0,0.20027702685748935,326
160,-241.0,0.19827425658891445,240
161,-204.0,0.1962915140230253,203
162,-213.0,0.19432859888279505,212
163,-313.0,0.1923853128939671,312
164,-247.0,0.19046145976502743,246
165,-189.0,0.18855684516737714,188
166,-155.0,0.18667127671570335,154
167,-151.0,0.18480456394854633,150
168,-123.0,0.18295651830906087,122
169,-364.0,0.18112695312597027,363
170,-215.0,0.17931568359471056,214
171,-119.0,0.17752252675876345,118
172,-218.0,0.17574730149117582,217
173,-159.0,0.17398982847626407,158
174,-333.0,0.17224993019150142,332
175,-537.0,0.1705274308895864,536
176,-158.0,0.16882215658069055,157
177,-257.0,0.16713393501488363,256
178,-191.0,0.16546259566473479,190
179,-381.0,0.16380796970808745,380
180,-307.0,0.16216989001100657,306
181,-329.0,0.1605481911108965,328
182,-405.0,0.15894270919978754,404
183,-413.0,0.15735328210778965,412
184,-421.0,0.15577974928671176,420
185,-594.0,0.15422195179384465,593
186,-464.0,0.1526797322759062,463
187,-390.0,0.15115293495314713,389
188,-223.0,0.14964140560361566,222
189,-422.0,0.1481449915475795,421
190,-290.0,0.1466635416321037,289
191,-555.0,0.14519690621578268,554
192,-483.0,0.14374493715362485,482
193,-389.0,0.1423074877820886,388
194,-1012.0,0.1408844129042677,1011
195,-509.0,0.13947556877522502,508
196,-240.0,0.13808081308747278,239
197,-384.0,0.13670000495659804,383
198,-147.0,0.13533300490703207,146
199,-366.0,0.13397967485796175,365
200,-406.0,0.13263987810938213,405
201,-366.0,0.1313134793282883,365
202,-203.0,0.13000034453500542,202
203,-410.0,0.12870034108965536,409
204,-321.0,0.12741333767875881,320
205,-134.0,0.12613920430197123,133
206,-387.0,0.12487781225895152,386
207,-385.0,0.123629034136362,384
208,-440.0,0.12239274379499838,439
209,-219.0,0.1211688163570484,218
210,-597.0,0.11995712819347792,596
211,-657.0,0.11875755691154315,656
212,-234.0,0.11756998134242772,233
213,-332.0,0.11639428152900344,331
214,-460.0,0.11523033871371341,459
215,-222.0,0.11407803532657627,221
216,-408.0,0.11293725497331052,407
217,-383.0,0.1118078824235774,382
218,-438.0,0.11068980359934164,437
219,-286.0,0.10958290556334822,285
220,-482.0,0.10848707650771475,481
221,-982.0,0.1074022057426376,981
222,-1066.0,0.10632818368521123,1065
223,-647.0,0.10526490184835911,646
