episode,total_reward,epsilon,total_steps
0,-2000.0,0.99,1999
1,-2000.0,0.9801,1999
2,-2000.0,0.9702989999999999,1999
3,-2000.0,0.96059601,1999
4,-2000.0,0.9509900498999999,1999
5,-2000.0,0.9414801494009999,1999
6,-2000.0,0.9320653479069899,1999
7,-2000.0,0.92274469442792,1999
8,-2000.0,0.9135172474836407,1999
9,-2000.0,0.9043820750088043,1999
10,-2000.0,0.8953382542587163,1999
11,-2000.0,0.8863848717161291,1999
12,-2000.0,0.8775210229989678,1999
13,-2000.0,0.8687458127689781,1999
14,-2000.0,0.8600583546412883,1999
15,-2000.0,0.8514577710948754,1999
16,-2000.0,0.8429431933839266,1999
17,-2000.0,0.8345137614500874,1999
18,-2000.0,0.8261686238355865,1999
19,-2000.0,0.8179069375972307,1999
20,-2000.0,0.8097278682212583,1999
21,-2000.0,0.8016305895390458,1999
22,-2000.0,0.7936142836436553,1999
23,-2000.0,0.7856781408072188,1999
24,-2000.0,0.7778213593991465,1999
25,-2000.0,0.7700431458051551,1999
26,-2000.0,0.7623427143471035,1999
27,-2000.0,0.7547192872036325,1999
28,-2000.0,0.7471720943315961,1999
29,-2000.0,0.7397003733882802,1999
30,-2000.0,0.7323033696543974,1999
31,-2000.0,0.7249803359578534,1999
32,-2000.0,0.7177305325982748,1999
33,-2000.0,0.7105532272722921,1999
34,-2000.0,0.7034476949995692,1999
35,-2000.0,0.6964132180495735,1999
36,-2000.0,0.6894490858690777,1999
37,-2000.0,0.682554595010387,1999
38,-2000.0,0.6757290490602831,1999
39,-2000.0,0.6689717585696803,1999
40,-2000.0,0.6622820409839835,1999
41,-2000.0,0.6556592205741436,1999
42,-1395.0,0.6491026283684022,1394
43,-2000.0,0.6426116020847181,1999
44,-2000.0,0.6361854860638709,1999
45,-1687.0,0.6298236312032323,1686
46,-2000.0,0.6235253948912,1999
47,-2000.0,0.617290140942288,1999
48,-2000.0,0.6111172395328651,1999
49,-2000.0,0.6050060671375365,1999
50,-2000.0,0.5989560064661611,1999
51,-2000.0,0.5929664464014994,1999
52,-2000.0,0.5870367819374844,1999
53,-2000.0,0.5811664141181095,1999
54,-2000.0,0.5753547499769285,1999
55,-2000.0,0.5696012024771592,1999
56,-2000.0,0.5639051904523876,1999
57,-2000.0,0.5582661385478638,1999
58,-2000.0,0.5526834771623851,1999
59,-2000.0,0.5471566423907612,1999
60,-2000.0,0.5416850759668536,1999
61,-2000.0,0.536268225207185,1999
62,-927.0,0.5309055429551132,926
63,-2000.0,0.525596487525562,1999
64,-2000.0,0.5203405226503064,1999
65,-2000.0,0.5151371174238033,1999
66,-2000.0,0.5099857462495653,1999
67,-2000.0,0.5048858887870696,1999
68,-2000.0,0.4998370298991989,1999
69,-2000.0,0.49483865960020695,1999
70,-2000.0,0.4898902730042049,1999
71,-2000.0,0.48499137027416284,1999
72,-743.0,0.4801414565714212,742
73,-1151.0,0.475340042005707,1150
74,-2000.0,0.47058664158564995,1999
75,-2000.0,0.4658807751697934,1999
76,-2000.0,0.4612219674180955,1999
77,-2000.0,0.45660974774391455,1999
78,-2000.0,0.4520436502664754,1999
79,-2000.0,0.44752321376381066,1999
80,-1611.0,0.44304798162617254,1610
81,-1078.0,0.4386175018099108,1077
82,-2000.0,0.4342313267918117,1999
83,-2000.0,0.4298890135238936,1999
84,-2000.0,0.42559012338865465,1999
85,-2000.0,0.4213342221547681,1999
86,-2000.0,0.41712087993322045,1999
87,-697.0,0.41294967113388825,696
88,-1742.0,0.40882017442254937,1741
89,-844.0,0.4047319726783239,843
90,-1369.0,0.40068465295154065,1368
91,-2000.0,0.39667780642202527,1999
92,-2000.0,0.392711028357805,1999
93,-2000.0,0.38878391807422696,1999
94,-1908.0,0.3848960788934847,1907
95,-1938.0,0.38104711810454983,1937
96,-1554.0,0.37723664692350434,1553
97,-889.0,0.37346428045426927,888
98,-1306.0,0.36972963764972655,1305
99,-2000.0,0.36603234127322926,1999
100,-855.0,0.36237201786049694,854
101,-1620.0,0.358748297681892,1619
102,-2000.0,0.35516081470507305,1999
103,-1108.0,0.3516092065580223,1107
104,-1314.0,0.34809311449244207,1313
105,-611.0,0.34461218334751764,610
106,-1106.0,0.34116606151404244,1105
107,-814.0,0.337754400898902,813
108,-1676.0,0.334376856889913,1675
109,-818.0,0.33103308832101386,817
110,-717.0,0.3277227574378037,716
111,-1445.0,0.3244455298634257,1444
112,-1260.0,0.3212010745647914,1259
113,-824.0,0.3179890638191435,823
114,-1338.0,0.31480917318095203,1337
115,-584.0,0.3116610814491425,583
116,-685.0,0.30854447063465107,684
117,-921.0,0.30545902592830454,920
118,-283.0,0.3024044356690215,282
119,-292.0,0.29938039131233124,291
120,-2000.0,0.2963865873992079,1999
121,-869.0,0.29342272152521587,868
122,-729.0,0.2904884943099637,728
123,-772.0,0.28758360936686406,771
124,-2000.0,0.2847077732731954,1999
125,-466.0,0.28186069554046345,465
126,-880.0,0.2790420885850588,879
127,-839.0,0.2762516676992082,838
128,-920.0,0.27348915102221616,919
129,-550.0,0.270754259511994,549
130,-693.0,0.26804671691687404,692
131,-1209.0,0.2653662497477053,1208
132,-598.0,0.2627125872502282,597
133,-431.0,0.2600854613777259,430
134,-616.0,0.2574846067639487,615
135,-2000.0,0.2549097606963092,1999
136,-1953.0,0.2523606630893461,1952
137,-772.0,0.24983705645845267,771
138,-862.0,0.24733868589386815,861
139,-587.0,0.24486529903492946,586
140,-500.0,0.24241664604458016,499
141,-709.0,0.23999247958413436,708
142,-282.0,0.23759255478829303,281
143,-723.0,0.2352166292404101,722
144,-962.0,0.232864462948006,961
145,-978.0,0.23053581831852593,977
146,-1112.0,0.22823046013534068,1111
147,-905.0,0.22594815553398728,904
148,-847.0,0.22368867397864742,846
149,-452.0,0.22145178723886094,451
150,-1528.0,0.21923726936647234,1527
151,-337.0,0.2170448966728076,336
152,-2000.0,0.21487444770607952,1999
153,-718.0,0.21272570322901874,717
154,-826.0,0.21059844619672854,825
155,-1671.0,0.20849246173476127,1670
156,-596.0,0.20640753711741366,595
157,-324.0,0.20434346174623952,323
158,-987.0,0.20230002712877712,986
159,-435.0,0.20027702685748935,434
160,-832.0,0.19827425658891445,831
161,-492.0,0.1962915140230253,491
162,-476.0,0.19432859888279505,475
163,-312.0,0.1923853128939671,311
164,-979.0,0.19046145976502743,978
165,-1204.0,0.18855684516737714,1203
166,-378.0,0.18667127671570335,377
167,-637.0,0.18480456394854633,636
168,-539.0,0.18295651830906087,538
169,-853.0,0.18112695312597027,852
170,-661.0,0.17931568359471056,660
171,-675.0,0.17752252675876345,674
172,-1043.0,0.17574730149117582,1042
173,-571.0,0.17398982847626407,570
174,-562.0,0.17224993019150142,561
175,-1404.0,0.1705274308895864,1403
176,-386.0,0.16882215658069055,385
177,-767.0,0.16713393501488363,766
178,-758.0,0.16546259566473479,757
179,-842.0,0.16380796970808745,841
180,-626.0,0.16216989001100657,625
181,-402.0,0.1605481911108965,401
182,-2000.0,0.15894270919978754,1999
183,-554.0,0.15735328210778965,553
184,-1159.0,0.15577974928671176,1158
185,-442.0,0.15422195179384465,441
186,-476.0,0.1526797322759062,475
187,-686.0,0.15115293495314713,685
188,-1167.0,0.14964140560361566,1166
189,-2000.0,0.1481449915475795,1999
190,-547.0,0.1466635416321037,546
191,-903.0,0.14519690621578268,902
192,-798.0,0.14374493715362485,797
193,-612.0,0.1423074877820886,611
194,-936.0,0.1408844129042677,935
195,-567.0,0.13947556877522502,566
196,-1280.0,0.13808081308747278,1279
197,-785.0,0.13670000495659804,784
198,-597.0,0.13533300490703207,596
199,-311.0,0.13397967485796175,310
200,-1076.0,0.13263987810938213,1075
201,-872.0,0.1313134793282883,871
202,-243.0,0.13000034453500542,242
203,-739.0,0.12870034108965536,738
204,-555.0,0.12741333767875881,554
205,-618.0,0.12613920430197123,617
206,-676.0,0.12487781225895152,675
207,-554.0,0.123629034136362,553
208,-481.0,0.12239274379499838,480
209,-381.0,0.1211688163570484,380
210,-721.0,0.11995712819347792,720
211,-248.0,0.11875755691154315,247
212,-701.0,0.11756998134242772,700
