episode,total_reward,epsilon,total_steps
0,-2000.0,0.99,1999
1,-2000.0,0.9801,1999
2,-2000.0,0.9702989999999999,1999
3,-2000.0,0.96059601,1999
4,-2000.0,0.9509900498999999,1999
5,-2000.0,0.9414801494009999,1999
6,-2000.0,0.9320653479069899,1999
7,-2000.0,0.92274469442792,1999
8,-2000.0,0.9135172474836407,1999
9,-2000.0,0.9043820750088043,1999
10,-2000.0,0.8953382542587163,1999
11,-2000.0,0.8863848717161291,1999
12,-2000.0,0.8775210229989678,1999
13,-2000.0,0.8687458127689781,1999
14,-2000.0,0.8600583546412883,1999
15,-2000.0,0.8514577710948754,1999
16,-2000.0,0.8429431933839266,1999
17,-2000.0,0.8345137614500874,1999
18,-2000.0,0.8261686238355865,1999
19,-2000.0,0.8179069375972307,1999
20,-554.0,0.8097278682212583,553
21,-2000.0,0.8016305895390458,1999
22,-2000.0,0.7936142836436553,1999
23,-1773.0,0.7856781408072188,1772
24,-1040.0,0.7778213593991465,1039
25,-2000.0,0.7700431458051551,1999
26,-2000.0,0.7623427143471035,1999
27,-2000.0,0.7547192872036325,1999
28,-2000.0,0.7471720943315961,1999
29,-2000.0,0.7397003733882802,1999
30,-2000.0,0.7323033696543974,1999
31,-2000.0,0.7249803359578534,1999
32,-2000.0,0.7177305325982748,1999
33,-2000.0,0.7105532272722921,1999
34,-1835.0,0.7034476949995692,1834
35,-1177.0,0.6964132180495735,1176
36,-1769.0,0.6894490858690777,1768
37,-1771.0,0.682554595010387,1770
38,-1662.0,0.6757290490602831,1661
39,-1405.0,0.6689717585696803,1404
40,-2000.0,0.6622820409839835,1999
41,-1163.0,0.6556592205741436,1162
42,-1913.0,0.6491026283684022,1912
43,-2000.0,0.6426116020847181,1999
44,-2000.0,0.6361854860638709,1999
45,-864.0,0.6298236312032323,863
46,-1646.0,0.6235253948912,1645
47,-828.0,0.617290140942288,827
48,-1264.0,0.6111172395328651,1263
49,-2000.0,0.6050060671375365,1999
50,-1216.0,0.5989560064661611,1215
51,-847.0,0.5929664464014994,846
52,-2000.0,0.5870367819374844,1999
53,-406.0,0.5811664141181095,405
54,-2000.0,0.5753547499769285,1999
55,-921.0,0.5696012024771592,920
56,-1544.0,0.5639051904523876,1543
57,-1620.0,0.5582661385478638,1619
58,-1715.0,0.5526834771623851,1714
59,-1453.0,0.5471566423907612,1452
60,-962.0,0.5416850759668536,961
61,-427.0,0.536268225207185,426
62,-2000.0,0.5309055429551132,1999
63,-2000.0,0.525596487525562,1999
64,-1530.0,0.5203405226503064,1529
65,-470.0,0.5151371174238033,469
66,-746.0,0.5099857462495653,745
67,-384.0,0.5048858887870696,383
68,-422.0,0.4998370298991989,421
69,-1277.0,0.49483865960020695,1276
70,-1880.0,0.4898902730042049,1879
71,-1504.0,0.48499137027416284,1503
72,-1851.0,0.4801414565714212,1850
73,-2000.0,0.475340042005707,1999
74,-1299.0,0.47058664158564995,1298
75,-1220.0,0.4658807751697934,1219
76,-2000.0,0.4612219674180955,1999
77,-2000.0,0.45660974774391455,1999
78,-2000.0,0.4520436502664754,1999
79,-1094.0,0.44752321376381066,1093
80,-1560.0,0.44304798162617254,1559
81,-1898.0,0.4386175018099108,1897
82,-1412.0,0.4342313267918117,1411
83,-2000.0,0.4298890135238936,1999
84,-1283.0,0.42559012338865465,1282
85,-1284.0,0.4213342221547681,1283
86,-1889.0,0.41712087993322045,1888
87,-2000.0,0.41294967113388825,1999
88,-387.0,0.40882017442254937,386
89,-1726.0,0.4047319726783239,1725
90,-415.0,0.40068465295154065,414
91,-2000.0,0.39667780642202527,1999
92,-1059.0,0.392711028357805,1058
93,-590.0,0.38878391807422696,589
94,-764.0,0.3848960788934847,763
95,-885.0,0.38104711810454983,884
96,-1521.0,0.37723664692350434,1520
97,-1035.0,0.37346428045426927,1034
98,-662.0,0.36972963764972655,661
99,-1000.0,0.36603234127322926,999
100,-1144.0,0.36237201786049694,1143
101,-2000.0,0.358748297681892,1999
102,-1686.0,0.35516081470507305,1685
103,-387.0,0.3516092065580223,386
104,-1700.0,0.34809311449244207,1699
105,-1440.0,0.34461218334751764,1439
106,-1336.0,0.34116606151404244,1335
107,-551.0,0.337754400898902,550
108,-902.0,0.334376856889913,901
109,-507.0,0.33103308832101386,506
110,-1154.0,0.3277227574378037,1153
111,-2000.0,0.3244455298634257,1999
112,-2000.0,0.3212010745647914,1999
113,-2000.0,0.3179890638191435,1999
114,-942.0,0.31480917318095203,941
115,-541.0,0.3116610814491425,540
116,-1826.0,0.30854447063465107,1825
117,-1013.0,0.30545902592830454,1012
118,-1490.0,0.3024044356690215,1489
119,-921.0,0.29938039131233124,920
120,-422.0,0.2963865873992079,421
121,-609.0,0.29342272152521587,608
122,-1523.0,0.2904884943099637,1522
123,-2000.0,0.28758360936686406,1999
124,-849.0,0.2847077732731954,848
125,-2000.0,0.28186069554046345,1999
126,-1719.0,0.2790420885850588,1718
127,-440.0,0.2762516676992082,439
128,-1626.0,0.27348915102221616,1625
129,-1021.0,0.270754259511994,1020
130,-1402.0,0.26804671691687404,1401
131,-334.0,0.2653662497477053,333
132,-578.0,0.2627125872502282,577
133,-1466.0,0.2600854613777259,1465
134,-865.0,0.2574846067639487,864
135,-871.0,0.2549097606963092,870
136,-1805.0,0.2523606630893461,1804
137,-420.0,0.24983705645845267,419
138,-338.0,0.24733868589386815,337
139,-733.0,0.24486529903492946,732
140,-1735.0,0.24241664604458016,1734
141,-237.0,0.23999247958413436,236
142,-553.0,0.23759255478829303,552
143,-847.0,0.2352166292404101,846
144,-1756.0,0.232864462948006,1755
145,-2000.0,0.23053581831852593,1999
146,-704.0,0.22823046013534068,703
147,-772.0,0.22594815553398728,771
148,-288.0,0.22368867397864742,287
149,-573.0,0.22145178723886094,572
150,-581.0,0.21923726936647234,580
151,-932.0,0.2170448966728076,931
152,-465.0,0.21487444770607952,464
153,-378.0,0.21272570322901874,377
154,-411.0,0.21059844619672854,410
155,-1091.0,0.20849246173476127,1090
156,-1191.0,0.20640753711741366,1190
157,-925.0,0.20434346174623952,924
158,-794.0,0.20230002712877712,793
159,-296.0,0.20027702685748935,295
160,-524.0,0.19827425658891445,523
161,-566.0,0.1962915140230253,565
162,-1909.0,0.19432859888279505,1908
163,-384.0,0.1923853128939671,383
164,-1045.0,0.19046145976502743,1044
165,-1465.0,0.18855684516737714,1464
166,-536.0,0.18667127671570335,535
167,-769.0,0.18480456394854633,768
168,-617.0,0.18295651830906087,616
169,-582.0,0.18112695312597027,581
170,-666.0,0.17931568359471056,665
171,-482.0,0.17752252675876345,481
172,-1244.0,0.17574730149117582,1243
173,-2000.0,0.17398982847626407,1999
174,-1740.0,0.17224993019150142,1739
175,-1184.0,0.1705274308895864,1183
176,-364.0,0.16882215658069055,363
177,-631.0,0.16713393501488363,630
178,-314.0,0.16546259566473479,313
179,-965.0,0.16380796970808745,964
180,-1089.0,0.16216989001100657,1088
181,-257.0,0.1605481911108965,256
182,-344.0,0.15894270919978754,343
183,-966.0,0.15735328210778965,965
184,-1121.0,0.15577974928671176,1120
185,-1247.0,0.15422195179384465,1246
186,-439.0,0.1526797322759062,438
187,-960.0,0.15115293495314713,959
188,-646.0,0.14964140560361566,645
189,-469.0,0.1481449915475795,468
190,-378.0,0.1466635416321037,377
191,-302.0,0.14519690621578268,301
192,-235.0,0.14374493715362485,234
193,-849.0,0.1423074877820886,848
194,-1050.0,0.1408844129042677,1049
195,-1914.0,0.13947556877522502,1913
196,-1182.0,0.13808081308747278,1181
197,-1325.0,0.13670000495659804,1324
198,-302.0,0.13533300490703207,301
199,-500.0,0.13397967485796175,499
200,-1035.0,0.13263987810938213,1034
201,-1213.0,0.1313134793282883,1212
202,-565.0,0.13000034453500542,564
203,-287.0,0.12870034108965536,286
204,-453.0,0.12741333767875881,452
205,-524.0,0.12613920430197123,523
206,-695.0,0.12487781225895152,694
207,-406.0,0.123629034136362,405
208,-653.0,0.12239274379499838,652
209,-506.0,0.1211688163570484,505
210,-839.0,0.11995712819347792,838
211,-373.0,0.11875755691154315,372
212,-134.0,0.11756998134242772,133
